Age,Income,Clicks,Conversion Rate,CTR,Age_AdType,Income_AdPlacement,Click_DayOfWeek,Click_Hour,Click_Month,High_CTR,High_Conversion,Gender_Male,Gender_Other,Location_Suburban,Location_Urban,Ad Type_Native,Ad Type_Text,Ad Type_Video,Ad Topic_Finance,Ad Topic_Food,Ad Topic_Health,Ad Topic_Technology,Ad Topic_Travel,Ad Placement_Social Media,Ad Placement_Website,Age_Group_19-25,Age_Group_26-35,Age_Group_36-45,Age_Group_46-55,Age_Group_56-65,Age_Group_66+,Income_Group_Medium,Income_Group_High,Income_Group_Very High
30.0,60828.37,3.0,0.4255,0.0391,30.0_Text,High_Search Engine,6,20,1,0,1,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
19.0,64288.68,6.0,0.1025,0.0398,19.0_Native,Very High_Search Engine,2,20,10,0,0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
13.0,36588.14,4.0,0.3088,0.0669,13.0_Video,Low_Website,3,20,11,1,1,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
9.0,23402.82,5.0,0.3478,0.0262,9.0_Native,Low_Social Media,0,20,1,0,1,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
64.0,23174.34,3.0,0.071,0.0678,64.0_Text,Low_Social Media,0,20,7,1,0,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False
27.0,38731.09,4.0,0.2015,0.0658,27.0_Native,Medium_Social Media,4,20,9,1,1,True,False,True,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False
28.0,44166.67,6.0,0.2729,0.051,28.0_Native,Medium_Website,6,20,9,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False
16.0,65458.88,7.0,0.1489,0.0432,16.0_Banner,Very High_Search Engine,0,20,5,0,0,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
46.0,80284.95,2.0,0.1177,0.0342,46.0_Text,Very High_Social Media,2,20,8,0,0,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True
10.0,49443.9,4.0,0.3132,0.0428,10.0_Native,Medium_Website,1,20,9,0,1,True,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False
31.0,39963.08,8.0,0.2173,0.0266,31.0_Native,Medium_Social Media,6,20,8,0,1,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False
21.0,62354.16,5.0,0.2819,0.0516,21.0_Text,High_Website,1,20,8,1,1,True,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False
40.0,50849.01,5.0,0.1592,0.0306,40.0_Video,High_Search Engine,2,20,6,0,0,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
27.0,55531.81,5.0,0.0983,0.0484,27.0_Text,High_Social Media,4,20,5,0,0,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
17.0,62807.1,7.0,0.3698,0.05,17.0_Native,High_Website,0,20,10,0,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
34.0,39949.18,1.0,0.2505,0.0315,34.0_Native,Medium_Search Engine,3,20,1,0,1,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
41.0,61847.07,5.0,0.2261,0.0206,41.0_Native,High_Search Engine,5,20,12,0,1,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
35.0,62957.24,3.0,0.2871,0.0664,35.0_Banner,High_Social Media,2,20,5,1,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
39.0,19111.23,8.0,0.1673,0.0506,39.0_Banner,Low_Social Media,6,20,9,1,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
25.0,24840.5,3.0,0.2716,0.0402,25.0_Banner,Low_Search Engine,1,20,4,0,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
29.0,75618.52,8.0,0.1348,0.0562,29.0_Banner,Very High_Website,3,20,7,1,0,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True
24.0,62707.68,6.0,0.1208,0.0495,24.0_Video,High_Social Media,6,20,7,0,0,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
29.0,58263.49,9.0,0.2912,0.0598,29.0_Text,High_Website,3,20,4,1,1,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False
22.0,56317.49,6.0,0.1866,0.0598,22.0_Text,High_Website,5,20,7,1,1,False,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False
9.0,73602.32,8.0,0.0731,0.036,9.0_Video,Very High_Search Engine,1,20,7,0,0,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
37.0,40871.66,4.0,0.0723,0.0459,37.0_Native,Medium_Website,4,20,6,0,0,True,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
28.0,58183.05,1.0,0.0407,0.0187,28.0_Banner,High_Website,0,20,12,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False
10.0,20402.04,5.0,0.386,0.0342,10.0_Banner,Low_Website,2,20,4,0,1,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
41.0,75458.8,1.0,0.079,0.0303,41.0_Video,Very High_Social Media,5,20,9,0,0,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
21.0,33990.5,4.0,0.4223,0.04,21.0_Native,Low_Social Media,3,20,7,0,1,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False
35.0,41135.72,7.0,0.0189,0.0484,35.0_Banner,Medium_Website,6,20,4,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False
45.0,57373.69,1.0,0.1223,0.0077,45.0_Video,High_Search Engine,5,20,3,0,0,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
36.0,65014.85,10.0,0.2394,0.0678,36.0_Video,Very High_Social Media,3,20,11,1,1,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
52.0,68853.82,3.0,0.0596,0.0254,52.0_Banner,Very High_Search Engine,3,20,7,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
16.0,82985.49,4.0,0.3877,0.043,16.0_Banner,Very High_Social Media,2,20,9,0,1,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True
41.0,19089.89,1.0,0.1403,0.0197,41.0_Banner,Low_Website,0,20,10,0,0,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False
24.0,25319.53,6.0,0.1879,0.0253,24.0_Text,Low_Social Media,3,20,7,0,1,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
21.0,31980.07,3.0,0.3858,0.0557,21.0_Banner,Low_Search Engine,1,20,2,1,1,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
26.0,24529.2,6.0,0.4765,0.0567,26.0_Banner,Low_Search Engine,2,20,6,1,1,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
30.0,48769.03,5.0,0.245,0.0835,30.0_Video,Medium_Social Media,5,20,10,1,1,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False
35.0,87281.97,4.0,0.2179,0.053,35.0_Video,Very High_Website,3,20,11,1,1,False,True,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True
17.0,43013.73,1.0,0.1695,0.0573,17.0_Native,Medium_Website,3,20,2,1,0,False,True,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
48.0,54347.78,6.0,0.2648,0.0544,48.0_Native,High_Search Engine,3,20,3,1,1,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
41.0,1250.54,2.0,0.1896,0.0268,41.0_Text,Low_Search Engine,1,20,5,0,1,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
11.0,49232.54,4.0,0.1375,0.0437,11.0_Banner,Medium_Search Engine,6,20,4,0,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
57.0,44979.21,0.0,0.1081,0.0165,57.0_Native,Medium_Social Media,4,20,1,0,0,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False
63.0,35720.87,5.0,0.2205,0.026,63.0_Text,Low_Social Media,6,20,12,0,1,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
52.0,67818.54,5.0,0.245,0.0278,52.0_Video,Very High_Search Engine,5,20,6,0,1,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
32.0,76733.48,3.0,0.0495,0.0794,32.0_Banner,Very High_Website,3,20,8,1,0,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True
18.0,48339.17,4.0,0.3176,0.037,18.0_Native,Medium_Social Media,6,20,8,0,1,True,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False
50.0,100260.79,5.0,0.188,0.0674,50.0_Native,Very High_Search Engine,3,20,4,1,1,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
28.0,51961.63,5.0,0.1723,0.0504,28.0_Video,High_Website,5,20,11,1,0,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False
53.0,33027.18,4.0,0.3081,0.0236,53.0_Native,Low_Search Engine,3,20,1,0,1,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
38.0,59997.25,7.0,0.1605,0.0117,38.0_Banner,High_Search Engine,5,20,12,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
49.0,41810.76,6.0,0.1124,0.0682,49.0_Text,Medium_Search Engine,6,20,8,1,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
40.0,60917.19,2.0,0.2183,0.0602,40.0_Native,High_Website,5,20,11,1,1,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False
45.0,40275.68,5.0,0.0885,0.0535,45.0_Text,Medium_Website,3,20,9,1,0,True,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
35.0,9089.99,6.0,0.3752,0.0379,35.0_Banner,Low_Search Engine,0,20,8,0,1,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
61.0,70786.39,2.0,0.0292,0.0705,61.0_Native,Very High_Website,2,20,1,1,0,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True
36.0,52336.99,6.0,0.1221,0.1,36.0_Native,High_Social Media,1,20,9,1,0,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False
41.0,15668.23,6.0,0.1326,0.0359,41.0_Text,Low_Search Engine,4,20,6,0,0,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
63.0,27858.24,7.0,0.0656,0.084,63.0_Video,Low_Social Media,4,20,6,1,0,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
14.0,55036.75,6.0,0.0708,0.051,14.0_Video,High_Social Media,4,20,4,1,0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False
15.0,25102.63,3.0,0.2316,0.047,15.0_Native,Low_Social Media,0,20,10,0,1,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
49.0,61179.65,5.0,0.1648,0.0558,49.0_Video,High_Website,6,20,1,1,0,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False
17.0,85541.33,6.0,0.2446,0.0377,17.0_Banner,Very High_Search Engine,5,20,12,0,1,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
64.0,18081.34,5.0,0.3892,0.0208,64.0_Video,Low_Search Engine,1,20,3,0,1,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
28.0,80814.86,3.0,0.4125,0.0625,28.0_Native,Very High_Social Media,5,20,3,1,1,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True
23.0,38205.39,5.0,0.2928,0.0659,23.0_Native,Medium_Website,2,20,8,1,1,True,False,True,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False
63.0,13715.06,7.0,0.2759,0.0371,63.0_Banner,Low_Social Media,2,20,9,0,1,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
57.0,53396.39,9.0,0.2716,0.034,57.0_Native,High_Social Media,0,20,2,0,1,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
63.0,47409.79,4.0,0.053,0.025,63.0_Banner,Medium_Social Media,2,20,12,0,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False
48.0,60555.09,6.0,0.2151,0.0507,48.0_Banner,High_Search Engine,3,20,3,1,1,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
22.0,54892.26,7.0,0.1797,0.0652,22.0_Banner,High_Search Engine,3,20,8,1,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False
63.0,43529.85,3.0,0.0988,0.0793,63.0_Video,Medium_Search Engine,0,20,9,1,0,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
30.0,75123.72,6.0,0.0565,0.0523,30.0_Video,Very High_Website,2,20,10,1,0,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
47.0,65100.79,5.0,0.148,0.0608,47.0_Video,Very High_Social Media,2,20,10,1,0,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True
49.0,53027.76,6.0,0.3582,0.0822,49.0_Native,High_Website,3,20,4,1,1,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
32.0,41570.32,8.0,0.1832,0.0748,32.0_Native,Medium_Social Media,1,20,2,1,1,False,True,False,True,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False
44.0,66296.73,9.0,0.3795,0.0502,44.0_Text,Very High_Social Media,4,20,7,0,1,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True
48.0,78603.46,7.0,0.1896,0.0525,48.0_Text,Very High_Search Engine,6,20,2,1,1,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
40.0,52601.79,5.0,0.1757,0.0415,40.0_Text,High_Website,1,20,6,0,0,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False
18.0,59207.78,3.0,0.1558,0.062,18.0_Banner,High_Website,3,20,11,1,0,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
39.0,32601.22,4.0,0.1829,0.0249,39.0_Banner,Low_Website,5,20,9,0,1,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
54.0,49525.38,6.0,0.2495,0.0456,54.0_Banner,Medium_Search Engine,5,20,4,0,1,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
24.0,27523.28,4.0,0.2826,0.0427,24.0_Text,Low_Social Media,5,20,11,0,1,True,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False
32.0,52754.67,5.0,0.1387,0.0481,32.0_Text,High_Social Media,4,20,12,0,0,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False
28.0,54883.59,6.0,0.4485,0.0375,28.0_Banner,High_Website,2,20,3,0,1,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False
62.0,15418.29,9.0,0.1383,0.0703,62.0_Text,Low_Social Media,4,20,11,1,0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
45.0,40055.2,3.0,0.4684,0.0523,45.0_Banner,Medium_Social Media,2,20,6,1,1,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
41.0,76007.96,8.0,0.2614,0.0426,41.0_Text,Very High_Search Engine,5,20,2,0,1,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
23.0,38639.97,4.0,0.2637,0.0454,23.0_Banner,Medium_Social Media,4,20,2,0,1,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False
43.0,61891.35,7.0,0.2266,0.0506,43.0_Banner,High_Search Engine,4,20,3,1,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
24.0,64885.02,9.0,0.1886,0.0569,24.0_Text,Very High_Social Media,5,20,9,1,1,True,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True
35.0,44861.95,3.0,0.3215,0.0852,35.0_Native,Medium_Search Engine,3,20,6,1,1,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
25.0,30298.96,3.0,0.1246,0.0284,25.0_Native,Low_Website,6,20,3,0,0,False,False,False,True,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False
45.0,54726.72,7.0,0.2797,0.0346,45.0_Native,High_Search Engine,2,20,5,0,1,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
43.0,56708.49,7.0,0.0061,0.0492,43.0_Video,High_Website,6,20,7,0,0,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False
31.0,9662.59,4.0,0.0404,0.0447,31.0_Video,Low_Social Media,6,20,11,0,0,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
40.0,63083.44,8.0,0.0314,0.0704,40.0_Video,High_Social Media,5,20,1,1,0,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False
18.0,52019.09,7.0,0.2714,0.0913,18.0_Native,High_Search Engine,6,20,7,1,1,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
12.0,51594.96,2.0,0.2567,0.0821,12.0_Video,High_Search Engine,6,20,2,1,1,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
41.0,82441.0,5.0,0.1362,0.0577,41.0_Banner,Very High_Search Engine,5,20,5,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
37.0,72557.72,2.0,0.0633,0.0464,37.0_Native,Very High_Search Engine,5,20,10,0,0,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
